 Total battles: 443596
 Total teams: 887192
 Total pokemon: 887192
 + ---- + ------------------ + ------ + ------- + 
 | Rank | Pokemon            | Usage  | Percent | 
 | 483  | Glameow            | 4      |  0.000% |
 | 484  | Unown              | 4      |  0.000% |
 | 485  | Drilbur            | 4      |  0.000% |
 | 486  | Kadabra            | 3      |  0.000% |
 | 487  | Klang              | 3      |  0.000% |
 | 488  | Luxio              | 3      |  0.000% |
 | 489  | Pidgeotto          | 3      |  0.000% |
 | 490  | Spheal             | 3      |  0.000% |
 | 491  | Bayleef            | 3      |  0.000% |
 | 492  | Cyndaquil          | 3      |  0.000% |
 | 493  | Silcoon            | 3      |  0.000% |
 | 494  | Frillish           | 3      |  0.000% |
 | 495  | Shellder           | 3      |  0.000% |
 | 496  | Tyrogue            | 3      |  0.000% |
 | 497  | Smoochum           | 3      |  0.000% |
 | 498  | Clefairy           | 3      |  0.000% |
 | 499  | Machop             | 3      |  0.000% |
 | 500  | Lickitung          | 3      |  0.000% |
 | 501  | Palpitoad          | 3      |  0.000% |
 | 502  | Herdier            | 3      |  0.000% |
 | 503  | Shieldon           | 3      |  0.000% |
 | 504  | Shelmet            | 3      |  0.000% |
 | 505  | Krokorok           | 3      |  0.000% |
 | 506  | Vanillite          | 3      |  0.000% |
 | 507  | Nuzleaf            | 3      |  0.000% |
 | 508  | Lombre             | 2      |  0.000% |
 | 509  | Mankey             | 2      |  0.000% |
 | 510  | Eelektrik          | 2      |  0.000% |
 | 511  | Deino              | 2      |  0.000% |
 | 512  | Larvesta           | 2      |  0.000% |
 | 513  | Chimchar           | 2      |  0.000% |
 | 514  | Chinchou           | 2      |  0.000% |
 | 515  | Phanpy             | 2      |  0.000% |
 | 516  | Staryu             | 2      |  0.000% |
 | 517  | Slowpoke           | 2      |  0.000% |
 | 518  | Wormadam           | 2      |  0.000% |
 | 519  | Marill             | 2      |  0.000% |
 | 520  | Axew               | 2      |  0.000% |
 | 521  | Chingling          | 2      |  0.000% |
 | 522  | Elgyem             | 2      |  0.000% |
 | 523  | Golett             | 2      |  0.000% |
 | 524  | Gloom              | 2      |  0.000% |
 | 525  | Hoothoot           | 2      |  0.000% |
 | 526  | Teddiursa          | 2      |  0.000% |
 | 527  | Feebas             | 2      |  0.000% |
 | 528  | Swadloon           | 2      |  0.000% |
 | 529  | Vibrava            | 2      |  0.000% |
 | 530  | Yamask             | 2      |  0.000% |
 | 531  | Pidgey             | 2      |  0.000% |
 | 532  | Krabby             | 2      |  0.000% |
 | 533  | Rhyhorn            | 2      |  0.000% |
 | 534  | Roggenrola         | 1      |  0.000% |
 | 535  | Psyduck            | 1      |  0.000% |
 | 536  | Rufflet            | 1      |  0.000% |
 | 537  | Doduo              | 1      |  0.000% |
 | 538  | Minccino           | 1      |  0.000% |
 | 539  | Poliwag            | 1      |  0.000% |
 | 540  | Woobat             | 1      |  0.000% |
 | 541  | Klink              | 1      |  0.000% |
 | 542  | Houndour           | 1      |  0.000% |
 | 543  | Surskit            | 1      |  0.000% |
 | 544  | Pawniard           | 1      |  0.000% |
 | 545  | Venipede           | 1      |  0.000% |
 | 546  | Sewaddle           | 1      |  0.000% |
 | 547  | Ponyta             | 1      |  0.000% |
 | 548  | Servine            | 1      |  0.000% |
 | 549  | Blitzle            | 1      |  0.000% |
 | 550  | Carvanha           | 1      |  0.000% |
 | 551  | Spoink             | 1      |  0.000% |
 | 552  | Staravia           | 1      |  0.000% |
 | 553  | Prinplup           | 1      |  0.000% |
 | 554  | Drowzee            | 1      |  0.000% |
 | 555  | Bonsly             | 1      |  0.000% |
 | 556  | Combee             | 1      |  0.000% |
 | 557  | Tirtouga           | 1      |  0.000% |
 | 558  | Panpour            | 1      |  0.000% |
 | 559  | Patrat             | 1      |  0.000% |
